Nº Contrato;Apelido Cliente;Nome Cliente;Categoria Cliente;Contato;Fone;Email;Referência;Status;Tipo Contrato;Início Vigência;Fim Vigência;Data Cadastro;Próx. Reajuste;Obs
"2561";"03812175000191 - PEDRA POMBAL";"AUTO POSTO PEDRA DO POMBAL LTDA";;"Marco Antonio";"(28) 99884-0218";"marco.pombal@hotmail.comfinanceiro@pedraldopombal.com.brnfs01@atasistemas.com.br";"Active - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"29/04/2024";"29/04/2026";"08/11/2024 11:23";"29/04/2026";"(28) 99986-2698 / Enviar no WhatsApp||RESCINDIDO I MIFROU PARA SISTEMA HCM"
"2543";"05805349000114 AYKO TECNOLOGIA";"AYKO TECNOLOGIA LTDA";;"Financeiro";"(27)4009-4821";"luana.lopes@viprede.comfinanceiro@viprede.comnfs01@atasistemas.com.br";"CANCELADO I Ponto Web Ultimate 250F";"CANCELADO";"Ponto Secullum";"14/04/2024";"14/04/2026";"08/11/2024 11:23";"14/04/2026";"Descrição: Contrato de manutenção de sistema de ponto.||* Renovação (aviso e-mail): IGP-M, novo valor R$ 1.700,67 mediante acréscimo de R$ 134,38.|* 15/10/2024 - Adicional de +50 funcionários ativos, passando de 200 para 250 funcionários ativos.|PLANO ULTIMATE|Acréscimo de R$ 330,00, passando do valor R$ 1.236,29 para o valor mensal de R$ 1.566,29"
"2588";"15014790000131 BELA VISTA GE";"BELA VISTA - GESTAO DE RECURSOS HUMANOS LTDA";;"Financeiro";"43999076070";"belavista.servicos@hotmail.comnfs01@atasistemas.com.br";"Valor R$ 215,94 Mensal I RHiD 40F";"ATIVO";"Ponto ControlID";"20/05/2024";"20/05/2026";"08/11/2024 12:22";"20/05/2026";"Descrição: Serviço de manutenção ao software de ponto.||Licença do Software RHiD ( 50 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||04/06/25 - Renovação por IGPM. Acréscimo de 8,51%. Passando de R$199,00 para R$215,94||18/06/2024 -  Downgrade do software RHID. Redução de 10 funcionários, passando de 50 para até 40 funcionários ativos. Redução de R$ 20,00, passando de R$ 219,00 para o valor de R$ 199,00 mensais."
"2461";"11502849000180 BMWD SERVICOS";"BMWD SERVICOS LTDA";;"Westerson";"(27) 3337-5589";"westersonsilva@hotmail.comagfcamburi@uol.com.brnfs01@atasistemas.com.br";"Valor R$120,51 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"11/01/2024";"10/01/2027";"08/11/2024 11:23";"30/01/2027";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Ponto Secullum Web ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto."
"2312";"39691189000141 CHURRASCARIA AV";"CHURRASCARIA AVENIDA LTDA";;"Financeiro";"2730513400";"alexandrecasteluber@hotmail.comnfs01@atasistemas.com.br";"Valor R$153,38 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"24/11/2023";"24/11/2026";"07/11/2024 18:05";"24/11/2026";"Produto: Contrato de manutenção de sistema de ponto||Licença Mensal do Software Web de Gerenciamento de Ponto Secullum ( Até 60|funcionários ) + Aplicativo para smartphone (Android e iOS) + Suporte Remoto Total||13/11/2025 - Renovação por IGPM.|Em percentual:   6,5556%|Em fator de multiplicação:   1,065556|Os valores do índice utilizados neste cálculo foram:|Novembro-2023 = 0,59% Dezembro-2023 = 0,74% Janeiro-2024 = 0,07% Fevereiro-2024 = -0,52% Março-2024 = -0,47% Abril-2024 = 0,31% Maio-2024 = 0,89% Junho-2024 = 0,81% Julho-2024 = 0,61% Agosto-2024 = 0,29% Setembro-2024 = 0,62% Outubro-2024 = 1,52% Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$143,94 * 1,065556|Valor atualizado  =  R$153,38||*25/07/2023 - Adicional de +10 funcionários"
"2313";"39558418000154 CHURRASCARIA DA";"CHURRASCARIA DA PRACA LTDA";;"Financeiro";;"alexandrecasteluber@hotmail.comnfs01@atasistemas.com.br";"Valor R$153,38 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"24/11/2023";"24/11/2026";"07/11/2024 18:05";"24/11/2026";"Produto: Contrato de manutenção de sistema de ponto||Licença Mensal do Software Web de Gerenciamento de Ponto Secullum ( Até 60|funcionários ) + Aplicativo para smartphone (Android e iOS) + Suporte Remoto Total||13/11/2025 - Renovação por IGPM.|Em percentual:   6,5556%|Em fator de multiplicação:   1,065556|Os valores do índice utilizados neste cálculo foram:|Novembro-2023 = 0,59% Dezembro-2023 = 0,74% Janeiro-2024 = 0,07% Fevereiro-2024 = -0,52% Março-2024 = -0,47% Abril-2024 = 0,31% Maio-2024 = 0,89% Junho-2024 = 0,81% Julho-2024 = 0,61% Agosto-2024 = 0,29% Setembro-2024 = 0,62% Outubro-2024 = 1,52% Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$143,94 * 1,065556|Valor atualizado  =  R$153,38|||*25/07/2023 - Adicional de +10 funcionários ativos, passando de 60 para 70. Acréscimos de R$ 13,33 no valor de cada contrato, passando de R$123,00 para R$ 136,33 mensal. |*15/02/2023 - Contrato fracionado em 3 CNPJs dividindo o valor R$ 369,00 para R$123,00 entre os 3 contratos. ||CNPJs de faturamento :|- 17.745.500/0001-55(Alexandre Casteluber)|- 39.691.189/0001-41( Churrascaria Avenida)|- 39.558.418/0001-54(Churrascaria da Praça)"
"2734";"36042620000130-CLIMELE - MEDIC";"CLIMELE - MEDICINA E SEGURANCA DO TRABALHO EIRELI";;"Financeiro";;"esocial@clinicaclimel.com.brcontasapagar@clinicaclimel.com.brnfs01@atasistemas.com.br";"R$ 184,00 Mensal | RHiD (20F)";"ATIVO";"Ponto ControlID";"10/07/2024";"10/07/2026";"08/11/2024 12:22";"10/07/2026";"Descrição: Serviço de manutenção ao software de ponto.|Licença do Software RHiD ( 20 funcionários ativos | 2 CNPJs ) + Serviço técnico de apoio e suporte remoto.|||Linha do Tempo:|+03/2025: Upgrade de +1 CNPJ. Acréscimo de R$ 15,00, passando de R$ 119,00 para o R$ 134,00.|+14/04/2025:Adicional de +10 funcionários, passando de 20 para até 30 funcionários ativos. Acréscimo de R$ 50,00, passando de R$ 134,00 para o valor mensal de R$ 184,00 .|05/09/2025: Renovação por IGPM. Acréscimo de 4,39%. Passando de R$184,00 para R$192,08|"
"2434";"39308364000179 CLINICA AMOR SA";"CLINICA AMOR SAUDE COWORK CARIACICA LTDA";;"Financeiro";" (27) 3038-6000";"financ.cariacica.es@amorsaude.comfinanceiro@amorsaudecariacica.comnfs01@atasistemas.com.br";"Valor R$276,70 Mensal | RHiD";"ATIVO";"Ponto ControlID";"03/02/2024";"03/02/2027";"07/11/2024 18:05";"03/02/2027";"Descrição: Contrato de manutenção de sistema de ponto.||* 05/07/2022: Adicional de +25 funcionários ativos, passando de 40 para 65 funcionários ativos.|Alteração do valor passando de R$ 199,00 para o valor mensal de R$ 245,00.|O preço foi fixado para até 60 func. ativos.||- Licença Mensal do Software RHiD ( Até 40 funcionários )|- Serviço técnico de apoio e suporte remoto."
"2556";"19834604000161 COMBO LOGISTI";"COMBO LOGISTICA E TRANSPORTES EIRELI";;"Kaymere Rossi";"(27) 99286-0725";"financeiro@combolog.com.brjessica.rocha@combolog.com.brnfs01@atasistemas.com.br";"Valor R$ 428,92 I Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"16/04/2024";"15/04/2026";"08/11/2024 11:23";"15/04/2026";"29/04/25: Renovação por IGPM. Acréscimo de 8,58% passando de R$395,00 para R$428,92||Descrição: Contrato de manutenção de sistema de ponto.||17/11/2025 -  Adicional de +210 funcionários no RHID, passando de 390 para 600 funcionários ativos. Acréscimo de R$ 630,00, passando de R$ 1.028,92 para R$1.658,92 mensais.||07/08/2025 -  Adicional de +200 funcionários no RHID, passando de 190 para 390 funcionários ativos. Acréscimo de R$ 600,00, passando de R$ 428,92 para R$ 1.028,92 mensais.||17/07/2024 - Adicional de +30 funcionários e +1 CNPJ ativo, passando de 160 para 190 funcionários e de 6 para 7 CNPJs ativos no software RHID.  Adicional de R$ 105,00, passando de R$ 395,00 para R$ 500,00 mensais.|A PARTIR DE AGORA O FATURAMENTO, ENVIO DE NFs E BOLETOS SERÃO EM NOME DA NOVA EMPRESA. 48060469000142 | FACIL EXPRESS TRANSPORTES LTDA||31/05/2024 - Renegociação de valor em virtude de solicitação de cancelamento, passando de R$ 528,91 para o valor mensal de R$ 395,00.|R$ 528,91  -  R$ 90,00 (SERVIÇO)  =  R$ 438,91  -  10% (DESCONTO)  =  R$ 395,00||03/10/2023 - Adicional de +100 funcionários + 5 Cnpjs, passando de 60 para 160 funcionários ativos no software RHID.  Adicional de R$ 310,00 mensal, passando de R$ 218,91 para R$ 528,91 mensal.|18/06/2021 - Adicional +30 funcionários, passando de 30 para 60 funcionários ativos. Alteração do valor passando de R$ 129,00 para R$ 199,00.|04/05/2021 - Adicional +10 funcionários, passando de 20 para 30 funcionários ativos. Alteração do valor passando de R$ 109,00 para R$ 129,00.||- Licença Mensal do Software RHiD ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto.||"
"2580";"11239312000179-COMERCIAL HERZO";"COMERCIAL HERZOG LTDA";;"Financeiro";;"leodistribuidoracontato@gmail.comnfs01@atasistemas.com.br";"Valor R$ 161,79 I Active - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"15/04/2024";"15/04/2026";"08/11/2024 11:23";"15/04/2026";"Descrição: Serviço de manutenção ao software de ponto.||Licença do Ponto Secullum Web Pro ( 10 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||04/06/25 - Renovação por IGPM. Acréscimo de 8,58%. Passando de R$149,00 para R$161,79"
"2725";"39320254000122 COMERCIAL TODAL";"COMERCIAL TODALINHA LTDA";;"Financeiro";;"todalinha@gmail.comnfs01@atasistemas.com.br";"Valor 129,77  - Mensal RHiD";"ATIVO";"Ponto ControlID";"10/08/2024";"10/08/2026";"08/11/2024 12:22";"10/08/2026";"Contrato de manutenção de sistema de ponto.|- Licença Mensal do Software RHiD ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto.||Mara  |  27 99815-6423||20/08/2025 - Renovação por IGPM. Acréscimo de 2,96%. Passando de R$129,77 para R$133,61"
"2380";"31732365000134 COMERCIAL TRESM";"COMERCIAL TRESMANN LTDA";;"Financeiro";"27 30248607";"tiago@tresmann.com.brrh@agoraa.com.brnfs01@atasistemas.com.br";"Valor R$ 350,51";"ATIVO";"Ponto Secullum";"15/12/2023";"15/12/2025";"08/11/2024 11:23";"15/12/2025";"Descrição: Serviço de manutenção ao software de ponto.|- Licença do Ponto Secullum Web Pro ( 50 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||07/02/2025- CONTRATO RETOMADO, REAJUSTADO NO VALOR DE 329,00 - JOÃO "
"2241";"30549651000104 COMPROPAY MEIOS";"COMPROPAY MEIOS DE PAGAMENTOS LTDA";;"Financeiro";"(27)3025-6558";"camila.oliveira@comprocard.com.brpatrick.benute@comprocard.com.brnfs01@atasistemas.com.br";"Valor R$264,13 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"07/11/2023";"07/11/2026";"08/11/2024 11:23";"07/11/2026";"Descrição: Contrato de manutenção de sistema de ponto.||- Licença Mensal do Ponto Secullum Web ( Até 100 funcionários )|- Serviço técnico de apoio e suporte remoto.||10/11/2025 - Renovação por IGPM.|Em percentual:   6,5556%|Em fator de multiplicação:   1,065556|Os valores do índice utilizados neste cálculo foram:|Novembro-2023 = 0,59% Dezembro-2023 = 0,74% Janeiro-2024 = 0,07% Fevereiro-2024 = -0,52% Março-2024 = -0,47% Abril-2024 = 0,31% Maio-2024 = 0,89% Junho-2024 = 0,81% Julho-2024 = 0,61% Agosto-2024 = 0,29% Setembro-2024 = 0,62% Outubro-2024 = 1,52% Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$247,88 * 1,065556|Valor atualizado  =  R$264,13||Empresas do banco de dados:|R$ 199,80  -  30549651000104 — COMPROPAY MEIOS DE PAGAMENTOS LTDA|R$ 149,60  -  ( Migrado do Ponto Offline ) 33978742000145 — BALTHAZAR RESTAURANTE EIRELI|R$ 149,60  -  ( Migrado do Ponto Offline ) 06175892000148 — COMPROCARD LTDA"
"2766";"CONDOMINIO VILLAGGIO ITAPARICA";"CONDOMINIO DO EDIFICIO VILLAGGIO ITAPARICA";;"financeiro";;"villaggioitaparica@gmail.comfadiniassessoria@gmail.comnfs01@atasistemas.com.br";"Active - Mensal RHiD";"CANCELADO";"Ponto ControlID";"30/08/2024";"30/08/2025";"07/11/2024 18:05";"30/08/2025";"Manutenção Ponto: Implantação do Software de Ponto RHID  (Até 20 funcionários ativos)||Em caso de atraso no pgto mandar (whatssap 27997883557)||RESCINDIDO"
"2667";"12316126000159_WORK CENTER";"CONDOMINIO DO EDIFICIO WORK CENTER";;"financeiro";;"cond.workcenter@gmail.comnfs01@atasistemas.com.br";"Rescindidio I Active - Locação Mensal Acesso com Suporte Remoto";"CANCELADO";"SERVIÇOS";"17/07/2024";"17/07/2025";"08/11/2024 11:23";"17/07/2025";"Descrição: Contrato de manutenção ao sistema de controle de acesso.||19/04/2025: fim do aviso prévio e rescisão do contrato.||05/01/2024 - Upgrade passando de 2.000 para 5.000 pessoas ativas. Acréscimo de R$ 165,00, passando de R$ 460,00 para o valor de R$ 625,00.||- Licença MENSAL do software Secullum Acesso ("
"2702";"48738863000197 VIDAGUA";"CONSORCIO VIDAGUA";;"Financeiro";;"naiani.ribeiro@consorciovidagua.com.brnfs01@atasistemas.com.br";"Valor R$ 617,77 - Mensal RHiD";"ATIVO";"Ponto ControlID";"11/08/2024";"11/08/2026";"07/11/2024 18:05";"11/08/2026";"Descrição:  Contrato Manutenção de Sistema de Ponto |[ MENSAL ] Licença Mensal do Software Web de Gerenciamento de Ponto Control ID ( Até 150 funcionários ) + Aplicativo para smartphone (Android e iOS) + Suporte Remoto Total||19/09/2024 - Upgrade do sistema passando de 150 para 200 funcionários ativos. Acréscimo de R$ 150,00, passando de R$ 450,00 para R$ 600,00 mensais.||01/09/2025 - Renovação por IGPM. Acréscimo de 2,96%. Passando de R$600,00 para R$617,77"
"2557";"10764562000165 DE CASTRO ENGEN";"DE CASTRO CONSTRUTORA E INCORPORADORA LTDA";;"Financeiro";"27 3062-6965";"luciana.sarcinelli@decastroconstrutora.com.brnf@decastroconstrutora.com.brnfs01@atasistemas.com.br";"Valor R$ 745,48 I Active - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"22/04/2024";"22/04/2026";"08/11/2024 11:23";"22/04/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Ponto Secullum Web Pro ( Até 10 funcionários )|- Serviço técnico de apoio e suporte remoto.||25/11/2022| |** Adicional de Licença Mensal do Software Web de Gerenciamento de Ponto Secullum ( Até 50 funcionários )|Alteração de faturamento mensal passando de R$ 149,00 para o valor de R$ 478,00|passando de 10 para 60 funcionários ativos no sistema Secullum Ponto Web.||27/12/2022 - Adriano|- Adicional do Ponto Secullum Web para +40 funcionários ativos, passando de 60 para 100 funcionários ativos.|passando de R$ 478,00 para o valor de R$ 674,00||20/01/2026 - Upgrade passando da versão PRO para ULTIMATE. Não houve acréscimo no valor da licença, uma vez que o valor estava ajustado ao plano Ultimate (email da Marcella)."
"2526";"39281753000158 DUCLORO";"DUCLORO COMERCIO LTDA";;"Financeiro";"2733288118";"dprh@ducloro.com.brnfs01@atasistemas.com.br";"Valor R$ 232,37 I Active - Mensal RHiD";"ATIVO";"Ponto ControlID";"05/04/2024";"05/04/2026";"07/11/2024 18:05";"05/04/2026";"Lívia/Claudio 27 996239159 - 27 3328-8118 - 27 99279-7056|Descrição: Serviço de manutenção ao software de ponto.||- Licença do RHID ( 40 funcionários ativos |2 CNPJs ) + Serviço técnico de apoio e suporte remoto.||19/05/25 Reajuste IGPM. Acréscimo de 8,58%. Passando de R$214,00 para R$232,37"
"2578";"00861743000156-E. DAS NEVES";"E. DAS NEVES - TRAPPUZ";;"Financeiro";"(27)3764-2244";"edsonneves1977@outlook.comnfs01@atasistemas.com.br";"Valor R$ 164,02 I Active - Mensal TopPonto Web";"ATIVO";"Ponto Topdata";"10/04/2024";"10/04/2026";"07/11/2024 18:05";"10/04/2026";"Descrição: Serviço de manutenção ao software de ponto.|Licença do TopPonto Web ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||11/06/2025 - Renovação por IGPM. Acréscimo de 8,58%. Passando de R$151,05 para R$164,02"
"2492";"14165301000180 ECOLLOGISTICS S";"ECOLLOGISTICS SOLUCOES INTERMODAIS LTDA";;"Financeiro";"(27)3336-0971";"contasapagar@ecollogistics.com.brnfs01@atasistemas.com.br";"Valor R$351,20 Mensal | Ponto Web";"ATIVO";"Ponto Secullum";"14/03/2024";"14/03/2027";"07/11/2024 18:05";"14/03/2027";"Descrição: Contrato de manutenção de sistema de ponto.||- 22/05/2024: Adicional de +10 funcionários ativos, passando de 40 para 50 funcionários. Adicional de R$ 50,00 passando de R$ 279,00 para R$ 329,00 mensais.|- 23/03/2023: Adicional de +10 funcionários ativos, passando de 30 para 40 funcionários. Adicional de R$ 40,00 passando de R$ 239,00 para R$ 279,00 mensais.||- Licença Mensal do Software Web de Gerenciamento de Ponto Secullum ( Até 30 funcionários ) |- Aplicativo para smartphone (Android e iOS) |- Suporte Remoto Total.||** Mensalidade no valor de R$239,00."
"2594";"ENDOSCOPIK GASTROENTEROLOGIA E";"ENDOSCOPIK GASTROENTEROLOGIA E ENDOSCOPIA LTDA";;"financeiro";;"adm.compras@icades.com.bradministrativo@endoscopik.comnfs01@atasistemas.com.br";"Active - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"15/06/2024";"15/06/2025";"08/11/2024 11:23";"15/06/2025";"rescindido||Descrição: Contrato de manutenção de sistema de ponto.||*** Empresa do grupo ICADES.|- Licença Mensal do Ponto Secullum Web ( Até 10 funcionários )|- Serviço técnico de apoio e suporte remoto."
"2814";"F. M. RIBEIRO COMERCIO E DISTR";"F. M. RIBEIRO COMERCIO E DISTRIBUIDORA LTDA";;"financeiro";;"financeiroinova@iideia.com.brnfs01@atasistemas.com.br";"Active - Mensal Ponto Web I MIGRADO PARA O CONTRATO 389";"CANCELADO";"Ponto Secullum";"16/09/2024";"16/09/2025";"08/11/2024 11:23";"16/09/2025";"Descrição: Serviço de manutenção ao software de ponto.||- Licença do Ponto Secullum Web Pro ( 20 funcionários ativos ) + Serviço técnico de apoio e suporte remoto.||11/04/2025: MIGRADO PARA O CONTRATO 389"
"2663";"03364572000148-FIBRAVIT ENGENH";"FIBRAVIT ENGENHARIA E SERVICOS LTDA";;"Financeiro";"33288053";"financeiro@fibravit.com.brrh@fibravit.com.brnfs01@atasistemas.com.br";"Active - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"25/06/2024";"25/06/2026";"07/11/2024 18:05";"25/06/2026";"OBS: Boleto com data de 30 dias após a emissão."
"2405";"28521013000125 FOCO SERVICOS T";"FOCO SERVICOS TERCEIRIZADOS LTDA";;"Financeiro";;"focoservicos1@outlook.comnfs01@atasistemas.com.br";"Valor R$141,54 Mensal | RHiD";"ATIVO";"Ponto ControlID";"02/12/2023";"02/12/2026";"08/11/2024 11:23";"02/12/2026";"Descrição: Contrato de manutenção de sistema de ponto.||- Licença Mensal do Software RHiD ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto.||*31/10/2023 - Upgrade de +10 funcionários no Software RHID, passando de 20 para 30 funcionários ativos. Acréscimo de R$ 20,00, passando de R$ 113,12 para R$ 133,12 mensal."
"2605";"GHISOLFI LOGISTICA E TRANSPORT";"GHISOLFI LOGISTICA E TRANSPORTE LTDA";;"financeiro";;"suporte@ghisolfi.com.br adm@ghisolfi.com.brjennifer.borges@ghisolfi.com.br ti@ghisolfi.com.br";"Active - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"20/05/2024";"20/05/2025";"08/11/2024 11:23";"20/05/2025";"No campo Asssunto do email colocar cnpj e nome da empresa.||Em processo judicial."
"2735";"GHISOLFI LOGISTICA E TRANSPORT";"GHISOLFI LOGISTICA E TRANSPORTE LTDA";;"financeiro";;"suporte@ghisolfi.com.br adm@ghisolfi.com.brjennifer.borges@ghisolfi.com.br ti@ghisolfi.com.br";"Active - Mensal Ponto Web";"CANCELADO";"Ponto Secullum";"02/08/2024";"02/08/2025";"08/11/2024 11:23";"02/08/2025";"No campo Asssunto do email colocar cnpj e nome da empresa.||CONTRATO SUSPENSO."
"2327";"43243228000204-GHISOLFI";"GHISOLFI OPERACOES LTDA";;"Financeiro";;"suporte@ghisolfi.com.bradm@ghisolfi.com.brjennifer.borges@ghisolfi.com.brti@ghisolfi.com.brnfs01@atasistemas.com.br";"Valor R$638,31 Mensal I Ponto Secullum Web (120F + 2 Facial)";"ATIVO";"Ponto Secullum";"28/11/2023";"28/11/2026";"08/11/2024 11:23";"28/11/2026";"Descrição: Contrato de manutenção de sistema de ponto.||Linha do Tempo:||03/12/2025 - Renovação por IGPM.|Em percentual:   0,9242%|Em fator de multiplicação:   1,009242|Os valores do índice utilizados neste cálculo foram:|Novembro-2024 = 1,30% Dezembro-2024 = 0,94% Janeiro-2025 = 0,27% Fevereiro-2025 = 1,06% Março-2025 = -0,34% Abril-2025 = 0,24% Maio-2025 = -0,49% Junho-2025 = -1,67% Julho-2025 = -0,77% Agosto-2025 = 0,36% Setembro-2025 = 0,42% Outubro-2025 = -0,36%.|Valor atualizado  =  valor * fator  =  R$632,46 * 1,009242|Valor atualizado  =  R$638,31||23/04/2025: Adicional de 01 licença de reconhecimento facial no Ponto Secullum Virtual. Acréscimo de R$ 35,00, passando de R$ 597,46 para R$ 632,46 mensais.|21/03/2025: Adicional de 01 licença de reconhecimento facial no Ponto Secullum Virtual. Acréscimo de R$ 35,00, passando de R$ 562,46 para R$ 597,46 mensais.|10/02/2025 - Aditivo de 20 funcionários ativos, passando de 100 para até 120 funcionários. Acréscimo de R$ 84,00, passando de R$ 478,46,00 para o valor mensal de R$ 562,46.|01/11/2024 - Aditivo de 30 funcionários ativos, passando de 70 para até 100 funcionários. Acréscimo de R$ 135,00, passando de R$ 315,00 para o valor mensal de R$ 450,00.||- Licença Mensal do Ponto Secullum Web Ultimate ( Até 70 funcionários ). Banco de dados secundário de Camaçari, migrado em 28/11/2023.|R$ 45,00 / 10 funcionários ativos.||Empresas do banco:|43.243.228/0002-04|08.512.037/0009-68"
"2733";"43243228000204-GHISOLFI";"GHISOLFI OPERACOES LTDA";;"Financeiro";;"suporte@ghisolfi.com.bradm@ghisolfi.com.brjennifer.borges@ghisolfi.com.brti@ghisolfi.com.brnfs01@atasistemas.com.br";"Valor R$ 1.853,28 - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"02/08/2024";"02/08/2026";"08/11/2024 11:23";"02/08/2026";"No campo Asssunto do email colocar cnpj e nome da empresa.||Descrição: Contrato de manutenção de sistema de ponto.||28/11/2023 - Adicional de +30 funcionários, passando de 320 para 350 funcionários ativos. Acréscimo de R$ 135,00, passando de R$ 1.440,00 para o valor mensal de R$ 1.575,00.|09/01/2024 - Adicional de +50 funcionários, passando de 350 para 400 funcionários ativos. Acréscimo de R$ 225,00, passando de R$ 1.575,00 para o valor mensal de R$ 1.800,00.||- Licença Mensal do Ponto Secullum Web Ultimate ( Até 320 funcionários )|- Serviço técnico de apoio e suporte remoto.|R$ 45,00 / 10 funcionários ativos.||Empresas do banco:|43.243.228/0002-04|43.243.228/0005-49||10/09/2025: |•	Valor anterior: R$ 1.800,00|•	Índice de correção: 2,96%|•	Novo valor: R$ 1.853,28|"
"2741";"43243228000620-GHISOLFI OPERAC";"GHISOLFI OPERACOES LTDA";;"Financeiro";;"suporte@ghisolfi.com.bradm@ghisolfi.com.brjennifer.borges@ghisolfi.com.brti@ghisolfi.com.brnfs01@atasistemas.com.br";"Valor R$ 1.396,93  - Mensal Ponto Web";"ATIVO";"Ponto Secullum";"02/08/2024";"02/08/2026";"08/11/2024 11:23";"02/08/2026";"No campo Asssunto do email colocar cnpj e nome da empresa.||Descrição: Contrato de manutenção de sistema de ponto.||30/12/2024 - Acréscimo de  R$ 35,00 nas próximas parcelas, passando de R$ 1321,77 para R$ 1.356,77 mensais.|01/11/2024 - Aditivo de +140 funcionários ativos, passando de 110 para até 250 funcionários ativos. Acréscimo de R$ 630,00, passando de 691,77 para o valor mensal de 1.321,77.|01/11/2024  - Acréscimo de R$ 196,77 ( 151,77 + 45,00 ) referente à unificação do faturamento dos contratos 2605 e 2735, passando de R$ 495,00 para o valor de R$ 691,77.||- Licença Mensal do Ponto Secullum Web Ultimate ( Até 110 funcionários )|- Serviço técnico de apoio e suporte remoto.||Empresas do banco:|43.243.228/0006-20||10/09/2025: |•	Valor anterior: R$ 1.356,77|•	Índice de correção: 2,96%|•	Novo valor: R$ 1.396,93||"
"2308";"19094106000120 GLOBALFITNESS A";"GLOBALFITNESS ACADEMIA LTDA";;"Financeiro";"27 99249-3343";"financeiroglobalacademia@gmail.combccmoraes@gmail.comnfs01@atasistemas.com.br";"Valor R$233,30 Mensal | RHID (30F e 02 CNPJs)";"ATIVO";"Ponto ControlID";"10/11/2023";"10/11/2026";"07/11/2024 18:05";"10/11/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Mensal RHiD ( Até 30 funcionários ) - Atualizado Adriano 19/03/2024|- Serviço técnico de apoio e suporte remoto.||Linha do tempo:|14/10/2025: Renovação por IGPM. Acréscimo de 6,94%. Passando de R$218,16 para R$233,30||05/03/3035: Adiciona de 01 CNPJ, passando de 01 para até 02 CNPJs. Acréscimo de R$ 15,00, passando de R$ 203,16 para R$ 218,16."
"2649";"24743050000127 HOFFMAM & CAPEL";"HOFFMAM & CAPELINI CENTRO DE ATIVIDADE FISICA LTDA";;"Financeiro";"(27)99757-5071";"darlan_hoffmam@hotmail.comnfs01@atasistemas.com.br";"Valor R$170,17 Mensal | RHiD";"ATIVO";"Ponto ControlID";"17/06/2024";"17/06/2026";"08/11/2024 11:23";"17/06/2026";"Descrição: Contrato de manutenção de sistema de ponto.|- Licença Mensal do Software de Ponto RHiD ( Até 20 funcionários )|- Serviço técnico de apoio e suporte remoto.||02/07/2025 - Renovação por IGPM. Acréscimo de 7,02%. Passando de R$159,00 para R$170,17.|(Obs.: esse cliente não havia tido reajustes anteriormente. Entretanto, o reajuste foi aplicado conforme autorização de João - email 01/07/2025)"
